scope,suite,family,case,pairs,native_2q_saving_pct,native_2q_ci_low,native_2q_ci_high,duration_saving_pct,twoq_depth_saving_pct,quantum_depth_saving_pct,compile_time_change_pct,wins,ties,losses,noisy_cut_delta,noisy_pairs
family_case,balanced,all_to_all,qaoa_p1,1,0.0,0.0,0.0,0.0,0.0,0.0,11.510072168367318,0,1,0,nan,0
family_case,balanced,all_to_all,qaoa_p2,1,0.0,0.0,0.0,0.0,0.0,0.0,-1.896425131925053,0,1,0,nan,0
family_case,balanced,dense75,qaoa_p1,12,13.303683441306454,11.251940339712885,15.307492487628293,25.641023571689193,28.670530853591018,25.233400356550845,3167.4803003786487,12,0,0,nan,0
family_case,balanced,dense75,qaoa_p2,12,13.8808291441322,10.457396363924092,17.041180438841828,15.474578563333631,18.45886524956467,18.010067504871373,3739.451973842303,12,0,0,nan,0
family_case,balanced,medium50,qaoa_p1,12,16.104990975047066,12.19967172162666,19.28707269876751,31.550817226637506,32.481295048881506,25.12498176806176,2443.989164346656,11,1,0,-0.1119791666666643,1
family_case,balanced,medium50,qaoa_p2,12,19.064823806084252,14.696451316338013,22.538374564486656,24.093203986482767,25.195875492221134,19.981166001378522,2530.762046587917,11,0,1,-0.7369791666666679,1
family_case,balanced,nearcomplete90,qaoa_p1,12,0.0,0.0,0.0,0.0,0.0,0.0,3.646036224077291,0,12,0,nan,0
family_case,balanced,nearcomplete90,qaoa_p2,12,0.0,0.0,0.0,0.0,0.0,0.0,-2.6346793500404413,0,12,0,nan,0
family_case,balanced,ring,qaoa_p1,1,0.0,0.0,0.0,0.0,0.0,0.0,18.453766098898814,0,1,0,nan,0
family_case,balanced,ring,qaoa_p2,1,0.0,0.0,0.0,0.0,0.0,0.0,-15.763084003750514,0,1,0,nan,0
family_case,balanced,sparse25,qaoa_p1,12,0.0,0.0,0.0,0.0,0.0,0.0,2.6414413115608597,0,12,0,0.0,1
family_case,balanced,sparse25,qaoa_p2,12,0.0,0.0,0.0,0.0,0.0,0.0,-3.9998391609242128,0,12,0,0.0,1
family_case,balanced,very_sparse15,qaoa_p1,12,0.0,0.0,0.0,0.0,0.0,0.0,1.2043446784011043,0,12,0,nan,0
family_case,balanced,very_sparse15,qaoa_p2,12,0.0,0.0,0.0,0.0,0.0,0.0,1.5040107920080177,0,12,0,nan,0
family_case,workload,community,qaoa_p1,12,0.0,0.0,0.0,0.0,0.0,0.0,-2.438353526630175,0,12,0,nan,0
family_case,workload,community,qaoa_p2,12,0.0,0.0,0.0,0.0,0.0,0.0,5.207863382484853,0,12,0,nan,0
family_case,workload,cubic,qaoa_p1,12,0.0,0.0,0.0,0.0,0.0,0.0,21.485855957770355,0,12,0,0.0,1
family_case,workload,cubic,qaoa_p2,12,0.0,0.0,0.0,0.0,0.0,0.0,4.790947166053673,0,12,0,0.0,1
family_case,workload,er25,qaoa_p1,12,0.0,0.0,0.0,0.0,0.0,0.0,3.6694346434040157,0,12,0,nan,0
family_case,workload,er25,qaoa_p2,12,0.0,0.0,0.0,0.0,0.0,0.0,17.07579483996913,0,12,0,nan,0
family_case,workload,er50,qaoa_p1,12,16.91349543413307,14.606287054320074,19.142815273574016,34.57837655662064,35.22577559097588,27.05481554519658,2351.197083375742,12,0,0,nan,0
family_case,workload,er50,qaoa_p2,12,21.84247743484633,18.836934430092533,24.71167258706416,27.681579011525013,27.866317420718286,19.284429438414477,2679.094959748353,12,0,0,nan,0
family_case,workload,er75,qaoa_p1,12,12.27931425291006,9.917099341230628,14.669757999552935,22.790988189390117,25.768371007953522,26.249781420753422,3265.120601507668,12,0,0,1.5703125,1
family_case,workload,er75,qaoa_p2,12,14.346119359451903,10.903636911567004,18.051231818359817,15.545310103806903,18.481363358871594,17.82991799703641,3706.8333715990007,12,0,0,0.052083333333328596,1
family_case,workload,grid4x4,qaoa_p1,1,0.0,0.0,0.0,0.0,0.0,0.0,9.900191635466026,0,1,0,nan,0
family_case,workload,grid4x4,qaoa_p2,1,0.0,0.0,0.0,0.0,0.0,0.0,18.35672648180359,0,1,0,nan,0
family_case,workload,quartic,qaoa_p1,12,0.0,0.0,0.0,0.0,0.0,0.0,-0.5595659436757645,0,12,0,nan,0
family_case,workload,quartic,qaoa_p2,12,0.0,0.0,0.0,0.0,0.0,0.0,-0.7929571539493727,0,12,0,nan,0
suite_graph_weighted,balanced,ALL,ALL,124,6.034289745151933,4.546110775912752,7.551189776509166,9.363834517562236,10.142570965573388,8.549962802986693,1150.1680800398296,46,77,1,-0.21223958333333304,4
suite_family_balanced,balanced,ALL,ALL,14,4.453880526183569,0.9914877960094428,8.486651984621457,6.9114016677245065,7.486183331732738,6.310686830775893,849.7392234844427,4,10,0,-0.21223958333333304,4
suite_graph_weighted,workload,ALL,ALL,146,5.373814231343125,4.042515247238912,6.756910722103405,8.26818524887748,8.822615948919394,7.431694060389114,990.6608037347368,48,98,0,0.40559895833333215,4
suite_family_balanced,workload,ALL,ALL,14,4.670100462952954,1.0247228113894216,8.963173576481708,7.1854467043816195,7.667273384179949,6.458496028671492,862.78156812239,4,10,0,0.40559895833333215,4
